statenm,year,hh_total,hh_hhkid,hh_hhnokid,hh_hheld,hh_hhdis,hh_hhearn,hh_total_fail,hh_hhkid_fail,hh_hhnokid_fail,hh_hheld_fail,hh_hhdis_fail,hh_hhearn_fail,hh_total_fail_pctoftotal,hh_hhkid_fail_pctofhhkid,hh_hhnokid_fail_pctofhhnokid,hh_hheld_fail_pctofhheld,hh_hhdis_fail_pctofhhdis,hh_hhearn_fail_pctofhhearn,hh_hhkid_fail_pctoffail,hh_hhnokid_fail_pctoffail,hh_hheld_fail_pctoffail,hh_hhdis_fail_pctoffail,hh_hhearn_fail_pctoffail
Michigan,2017,717744.15559,256337.67039,461406.4852,152626.61826,197326.91074,240093.33965,56869.125815,18003.249659,38865.876156,15453.066731,13782.576167,35899.318346,7.92,7.02,8.42,10.12,6.98,14.95,31.66,68.34,27.17,24.24,63.13
Minnesota,2017,217408.48275,84873.625393,132534.85736,52348.397747,51445.708593,76699.968623,12053.389737,6583.736983,5469.6527537,1846.7277917,1030.4641935,9763.9496567,5.54,7.76,4.13,3.53,2,12.73,54.62,45.38,15.32,8.55,81.01
Mississippi,2017,242805.71177,120406.50816,122399.20361,49315.358948,60844.981653,71600.311097,1007.6843702,507.69037925,499.99399095,499.99399095,253.84518963,507.69037925,0.42,0.42,0.41,1.01,0.42,0.71,50.38,49.62,49.62,25.19,50.38
Missouri,2017,338300.45969,152304.97452,185995.48517,65205.292305,98747.037137,98976.932041,1832.6405198,1832.6405198,0,0,547.59118838,1832.6405198,0.54,1.2,0,0,0.55,1.85,100,0,0,29.88,100
Montana,2017,56548.804244,22931.208139,33617.596105,12589.143632,13764.914556,17094.237832,2669.8725123,1501.4119957,1168.4605165,144.87146228,231.07137059,2357.9632338,4.72,6.55,3.48,1.15,1.68,13.79,56.24,43.76,5.43,8.65,88.32
Nebraska,2017,77417.451435,37186.858312,40230.593122,15045.014401,18338.15491,28450.800322,340.56397717,340.56397717,0,0,113.09481874,340.56397717,0.44,0.92,0,0,0.62,1.2,100,0,0,33.21,100
Nevada,2017,222928.12931,85806.742648,137121.38666,45480.466817,36312.016632,76190.503069,14904.240808,6317.5095127,8586.7312949,3415.6308623,1740.0483288,10422.64059,6.69,7.36,6.26,7.51,4.79,13.68,42.39,57.61,22.92,11.67,69.93
New Hampshire,2017,44989.227046,18243.369041,26745.858005,9648.1890557,18798.584095,12933.152976,2514.8465418,2382.6779854,132.16855635,75.440735329,444.61874504,2165.3277579,5.59,13.06,0.49,0.78,2.37,16.74,94.74,5.26,3,17.68,86.1
New Jersey,2017,405583.4436,172393.26976,233190.17384,134670.94683,80109.423917,121119.55226,25548.786304,11984.465817,13564.320487,6646.2645391,3389.1362479,16654.384872,6.3,6.95,5.82,4.94,4.23,13.75,46.91,53.09,26.01,13.27,65.19
New Mexico,2017,211417.03803,93449.390203,117967.64783,37969.144009,37000.593056,75564.519784,4274.6930159,2226.4141979,2048.278818,0,0,4274.6930159,2.02,2.38,1.74,0,0,5.66,52.08,47.92,0,0,100
New York,2017,1591961.5933,477323.90759,1114637.6857,608030.21705,364181.14916,454654.8178,75051.500191,28290.846843,46760.653348,31798.684547,11311.772178,43358.594783,4.71,5.93,4.2,5.23,3.11,9.54,37.7,62.3,42.37,15.07,57.77
North Carolina,2017,717614.43754,289343.87631,428270.56123,160672.50393,139686.13709,228640.51756,48890.69999,11090.030338,37800.669652,18670.207493,6918.8068348,28907.569588,6.81,3.83,8.83,11.62,4.95,12.64,22.68,77.32,38.19,14.15,59.13
North Dakota,2017,24669.584759,10928.991057,13740.593703,6302.6247794,5142.0882085,7086.8522992,1090.1585766,865.98374745,224.17482917,0,0,1090.1585766,4.42,7.92,1.63,0,0,15.38,79.44,20.56,0,0,100
Ohio,2017,736310.16931,290174.45376,446135.71556,169049.43133,208705.30601,220691.75836,26547.297645,2633.5122395,23913.785405,15772.746037,10245.656114,4694.2152251,3.61,0.91,5.36,9.33,4.91,2.13,9.92,90.08,59.41,38.59,17.68
Oklahoma,2017,269584.51294,126352.32732,143232.18562,55498.867012,65488.173679,80633.778693,292.55472266,0,292.55472266,0,292.55472266,292.55472266,0.11,0,0.2,0,0.45,0.36,0,100,0,100,100
Oregon,2017,384267.28929,115059.10643,269208.18287,97000.775377,73130.885141,126249.75091,33268.386064,13216.160773,20052.225291,8259.4670753,3034.4712613,23654.146679,8.66,11.49,7.45,8.51,4.15,18.74,39.73,60.27,24.83,9.12,71.1
Pennsylvania,2017,948019.79737,342768.24919,605251.54818,275973.0122,286403.9634,300985.4986,71567.432895,27658.248286,43909.184609,24152.548105,18846.708598,47006.891909,7.55,8.07,7.25,8.75,6.58,15.62,38.65,61.35,33.75,26.33,65.68
Rhode Island,2017,95674.678863,27751.622224,67923.056639,25959.60074,26421.644504,21479.16019,5838.0243043,2176.4680311,3661.5562732,1934.3327933,1112.0947366,3547.0554305,6.1,7.84,5.39,7.45,4.21,16.51,37.28,62.72,33.13,19.05,60.76
South Carolina,2017,334517.52457,162147.64067,172369.8839,79788.661321,67704.797818,110160.47388,3522.6374315,639.43032638,2883.2071051,2486.9530248,396.25408027,965.93347385,1.05,0.39,1.67,3.12,0.59,0.88,18.15,81.85,70.6,11.25,27.42
South Dakota,2017,41034.936791,18965.333871,22069.602921,7758.9019938,10719.050722,13030.999127,161.64106139,161.64106139,0,0,0,161.64106139,0.39,0.85,0,0,0,1.24,100,0,0,0,100
Tennessee,2017,505006.24558,206041.34019,298964.90538,94591.274844,125917.17825,128866.52981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,2017,1620847.6309,897909.42901,722938.20191,371649.59102,274270.39577,580319.26394,200936.9656,45607.146075,155329.81953,113856.67181,8796.4662088,56090.493811,12.4,5.08,21.49,30.64,3.21,9.67,22.7,77.3,56.66,4.38,27.91
Utah,2017,80906.063577,43097.086982,37808.976595,12263.957189,15732.652934,30549.079094,266.55441321,174.33575912,92.218654083,0,92.218654083,183.06722817,0.33,0.4,0.24,0,0.59,0.6,65.4,34.6,0,34.6,68.68
Vermont,2017,41963.22948,12572.175903,29391.053577,13395.992794,13323.011389,11213.459112,2636.8671119,1805.4942416,831.37287035,356.88834418,227.63108305,2050.0490342,6.28,14.36,2.83,2.66,1.71,18.28,68.47,31.53,13.53,8.63,77.75
Virgin Islands,2017,12538.23176,5831.5789635,6706.6527967,3186.6503679,414.86678258,4469.1000642,923.91944422,441.44675881,482.4726854,194.45559747,144.86372545,751.39719861,7.37,7.57,7.19,6.1,34.92,16.81,47.78,52.22,21.05,15.68,81.33
Virginia,2017,353409.60192,156103.00417,197306.59775,87515.887895,80527.599695,106983.27673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,2017,518457.15435,166959.13908,351498.01526,123866.65269,114056.37348,136767.52329,34092.243052,17462.438684,16629.804369,5907.9413854,2944.0117153,24899.644702,6.58,10.46,4.73,4.77,2.58,18.21,51.22,48.78,17.33,8.64,73.04
West Virginia,2017,167457.27702,63716.620959,103740.65606,39768.524279,49231.507185,39779.942449,6893.103321,850.81516255,6042.2881585,3582.1591594,1849.1682498,2748.6531804,4.12,1.34,5.82,9.01,3.76,6.91,12.34,87.66,51.97,26.83,39.88
Wisconsin,2017,339661.08597,136275.6082,203385.47778,82628.374623,81769.701113,126057.39109,30582.90685,11374.973187,19207.933664,11779.806162,4516.966903,18738.899387,9,8.35,9.44,14.26,5.52,14.87,37.19,62.81,38.52,14.77,61.27
Wyoming,2017,13824.367414,6881.7718809,6942.5955335,3134.6656459,2942.7925522,3915.8771095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
